deck_archetype,format,opponent_archetype,total_matches,wins,losses,ties,win_rate
Iron Hands Magneton,ASC Standard 2025,Dragapult Dusknoir,51,31,20,0,0.6078431372549019
Iron Hands Magneton,ASC Standard 2025,Mega Absol Box,27,10,17,0,0.37037037037037035
Iron Hands Magneton,ASC Standard 2025,Grimmsnarl Froslass,23,12,10,1,0.5217391304347826
Iron Hands Magneton,ASC Standard 2025,N's Zoroark,23,9,14,0,0.391304347826087
Iron Hands Magneton,ASC Standard 2025,Gholdengo Lunatone,18,7,11,0,0.3888888888888889
Iron Hands Magneton,ASC Standard 2025,Raging Bolt Ogerpon,12,7,5,0,0.5833333333333334
Iron Hands Magneton,ASC Standard 2025,Mega Venusaur,12,6,6,0,0.5
Iron Hands Magneton,ASC Standard 2025,Alakazam Dudunsparce,11,3,8,0,0.2727272727272727
Iron Hands Magneton,ASC Standard 2025,Kangaskhan Bouffalant,11,2,9,0,0.18181818181818182
Iron Hands Magneton,ASC Standard 2025,Charizard Noctowl,11,2,9,0,0.18181818181818182
Iron Hands Magneton,ASC Standard 2025,Froslass Munkidori,10,7,3,0,0.7
Iron Hands Magneton,ASC Standard 2025,Gardevoir Jellicent,10,5,5,0,0.5
Iron Hands Magneton,ASC Standard 2025,Rocket's Honchkrow,10,5,5,0,0.5
Iron Hands Magneton,ASC Standard 2025,Lucario Hariyama,9,5,4,0,0.5555555555555556
Iron Hands Magneton,ASC Standard 2025,Festival Lead,9,4,5,0,0.4444444444444444
Iron Hands Magneton,ASC Standard 2025,Charizard Pidgeot,9,1,8,0,0.1111111111111111
Iron Hands Magneton,ASC Standard 2025,Rocket's Mewtwo,8,6,2,0,0.75
Iron Hands Magneton,ASC Standard 2025,Tera Box,8,2,6,0,0.25
Iron Hands Magneton,ASC Standard 2025,Dragapult Charizard,8,2,5,1,0.25
Iron Hands Magneton,ASC Standard 2025,Gardevoir,7,4,3,0,0.5714285714285714
Iron Hands Magneton,ASC Standard 2025,Flareon Noctowl,6,3,3,0,0.5
