,Alakazam Dudunsparce,Ceruledge,Charizard Noctowl,Charizard Pidgeot,Crustle,Cynthia's Garchomp,Dragapult Charizard,Dragapult Dusknoir,Dragonite Eelektrik,Festival Lead,Flareon Noctowl,Froslass Munkidori,Gardevoir,Gardevoir Jellicent,Gholdengo Lunatone,Greninja,Grimmsnarl Froslass,Iron Hands Magneton,Joltik Box,Kangaskhan Bouffalant,Lucario Hariyama,Mega Absol Box,Mega Venusaur,N's Zoroark,Ogerpon Meganium,Raging Bolt Ogerpon,Rocket's Honchkrow,Rocket's Mewtwo,Tera Box
Alakazam Dudunsparce,50.0000%,67.5000%,41.8605%,52.3077%,54.1667%,65.7143%,39.0244%,38.4444%,66.6667%,46.2687%,60.0000%,46.7290%,30.3922%,48.1928%,58.2278%,40.4255%,41.1458%,72.7273%,55.5556%,68.5185%,64.7059%,41.2500%,53.9683%,46.9767%,62.5000%,64.1304%,25.5319%,20.0000%,51.3514%
Ceruledge,32.5000%,50.0000%,26.9231%,31.2500%,23.5294%,69.2308%,46.3415%,51.0870%,33.3333%,22.7273%,46.1538%,53.8462%,41.8605%,48.5714%,54.6875%,50.0000%,52.3256%,75.0000%,47.6190%,34.7826%,45.2381%,54.6875%,66.6667%,42.6667%,71.4286%,47.2222%,23.8095%,55.1724%,46.6667%
Charizard Noctowl,54.6512%,65.3846%,50.0000%,54.3860%,48.0000%,73.6842%,52.5424%,31.4465%,64.2857%,41.1765%,60.0000%,55.5556%,56.1644%,51.4706%,54.7170%,60.0000%,39.6947%,81.8182%,48.0000%,44.0000%,54.0000%,47.0588%,51.2195%,48.1481%,43.7500%,60.2564%,61.7647%,63.1579%,58.6207%
Charizard Pidgeot,46.1538%,68.7500%,36.8421%,50.0000%,47.3684%,42.1053%,48.1481%,41.9492%,53.3333%,45.4545%,66.6667%,31.2500%,50.6849%,57.1429%,46.3768%,50.0000%,38.9381%,88.8889%,36.6667%,31.0345%,51.0204%,51.7647%,52.3810%,50.5155%,63.1579%,64.9123%,54.1667%,57.1429%,48.1481%
Crustle,45.8333%,76.4706%,48.0000%,36.8421%,50.0000%,46.6667%,61.5385%,42.6357%,85.7143%,16.6667%,94.4444%,28.5714%,17.8571%,8.6957%,68.7500%,91.6667%,60.6557%,50.0000%,92.3077%,53.3333%,53.3333%,55.3191%,57.8947%,51.7857%,71.4286%,54.1667%,7.6923%,30.0000%,60.0000%
Cynthia's Garchomp,31.4286%,30.7692%,26.3158%,57.8947%,53.3333%,50.0000%,45.0000%,42.9752%,22.2222%,6.6667%,37.5000%,59.0909%,25.0000%,32.0000%,40.9091%,30.7692%,68.7500%,0.0000%,66.6667%,77.7778%,43.3333%,44.6809%,17.6471%,49.1228%,41.6667%,42.8571%,57.1429%,23.0769%,35.2941%
Dragapult Charizard,58.5366%,51.2195%,38.9831%,46.2963%,30.7692%,45.0000%,50.0000%,48.5050%,55.5556%,54.8387%,55.8824%,45.2055%,48.1928%,48.0769%,44.2308%,34.2105%,31.0811%,62.5000%,57.8947%,45.2830%,67.5676%,49.6350%,54.5455%,57.6642%,72.7273%,49.2063%,58.8235%,43.3333%,61.2903%
Dragapult Dusknoir,58.8889%,46.7391%,66.3522%,54.2373%,52.7132%,56.1983%,47.5083%,50.0000%,62.3529%,73.3668%,63.1148%,49.8413%,41.3978%,47.0968%,43.0108%,50.5435%,42.3851%,39.2157%,49.1228%,37.4429%,51.9108%,41.4876%,62.0482%,48.0905%,50.4854%,52.8497%,61.7886%,49.5455%,50.9554%
Dragonite Eelektrik,33.3333%,66.6667%,35.7143%,46.6667%,0.0000%,77.7778%,44.4444%,35.2941%,50.0000%,40.0000%,46.6667%,16.6667%,26.6667%,41.6667%,27.2727%,23.0769%,23.8095%,33.3333%,18.1818%,26.6667%,43.3333%,47.7273%,37.5000%,45.6140%,66.6667%,33.3333%,47.8261%,37.5000%,57.1429%
Festival Lead,53.7313%,77.2727%,55.8824%,54.5455%,83.3333%,93.3333%,41.9355%,26.1307%,60.0000%,50.0000%,65.5172%,34.4828%,39.6552%,35.5556%,50.7042%,44.1176%,47.7273%,55.5556%,62.5000%,14.2857%,58.6957%,50.5618%,57.8947%,62.1622%,41.1765%,50.0000%,78.0488%,70.9677%,64.7059%
Flareon Noctowl,35.0000%,46.1538%,36.0000%,25.0000%,5.5556%,62.5000%,41.1765%,31.9672%,53.3333%,34.4828%,50.0000%,37.8378%,32.2581%,36.3636%,51.1628%,40.0000%,59.6491%,50.0000%,27.7778%,50.0000%,56.7568%,33.3333%,66.6667%,41.5584%,54.5455%,54.5455%,34.6154%,50.0000%,50.0000%
Froslass Munkidori,51.4019%,43.5897%,42.5926%,68.7500%,64.2857%,40.9091%,54.7945%,48.5714%,83.3333%,65.5172%,59.4595%,50.0000%,56.9444%,40.8163%,46.4000%,47.7273%,38.0645%,30.0000%,32.2034%,39.2157%,45.3333%,37.5000%,71.4286%,57.0588%,65.6250%,45.1220%,47.3684%,71.4286%,67.6471%
Gardevoir,67.6471%,53.4884%,39.7260%,43.8356%,82.1429%,60.0000%,48.1928%,56.1828%,73.3333%,58.6207%,64.5161%,43.0556%,50.0000%,51.4286%,49.3671%,59.6154%,43.0464%,42.8571%,42.5000%,46.6667%,83.9286%,43.6090%,54.0541%,46.0123%,75.0000%,53.1250%,57.6923%,77.5000%,55.5556%
Gardevoir Jellicent,49.3976%,51.4286%,42.6471%,41.0714%,82.6087%,60.0000%,46.1538%,51.6129%,58.3333%,62.2222%,60.6061%,59.1837%,41.4286%,50.0000%,49.4949%,71.0526%,31.2000%,50.0000%,42.4242%,40.3226%,75.4386%,37.0690%,61.2245%,33.5878%,46.6667%,58.9744%,55.1724%,64.8649%,48.3871%
Gholdengo Lunatone,41.7722%,45.3125%,45.2830%,53.6232%,31.2500%,59.0909%,55.7692%,56.9892%,72.7273%,49.2958%,48.8372%,53.6000%,50.6329%,50.5051%,50.0000%,44.0678%,50.8850%,61.1111%,60.0000%,47.5000%,67.2566%,49.7817%,65.0000%,58.7121%,61.1111%,52.4138%,40.5063%,71.8750%,63.0769%
Greninja,57.4468%,50.0000%,37.1429%,50.0000%,8.3333%,69.2308%,65.7895%,47.2826%,76.9231%,55.8824%,53.3333%,47.7273%,36.5385%,26.3158%,55.9322%,50.0000%,53.4247%,50.0000%,54.5455%,68.9655%,43.3333%,53.2258%,72.0000%,45.6790%,64.7059%,45.2830%,78.2609%,50.0000%,25.0000%
