deck,frequency,is_active,generations_inactive,extinction_generation
Alakazam Dudunsparce,7.44660794377662e-19,False,123,
Ceruledge,1.530020614004121e-45,False,404,
Charizard Noctowl,1.554046086840959e-10,True,0,
Charizard Pidgeot,9.156076015324655e-40,False,371,
Crustle,0.6128309333816963,True,0,
Cynthia's Garchomp,3.1293108748777664e-26,False,261,
Dragapult Charizard,1.36331854053581e-41,False,337,
Dragapult Dusknoir,0.0010534618215752287,True,0,
Dragonite Eelektrik,5.206755931298091e-134,False,457,
Festival Lead,4.866848503334899e-39,False,371,
Flareon Noctowl,2.7892304340005874e-45,False,391,
Froslass Munkidori,6.507543055767243e-14,False,70,
Gardevoir,0.35512081988269123,True,0,
Gardevoir Jellicent,2.954408705844629e-16,False,109,
Gholdengo Lunatone,2.3557860764955052e-06,True,0,
Greninja,1.0151182777282858e-14,False,8,
Grimmsnarl Froslass,0.016244239400651447,True,0,
Iron Hands Magneton,1.3762795372681093e-53,False,423,
Joltik Box,6.770751909180974e-31,False,363,
Kangaskhan Bouffalant,0.014743987414707843,True,0,
Lucario Hariyama,1.809703411357909e-12,False,113,
Mega Absol Box,1.991597224001841e-09,True,0,
Mega Venusaur,4.199114074447152e-06,True,0,
N's Zoroark,6.05745778147311e-12,False,28,
Ogerpon Meganium,1.085623509745848e-23,False,258,
Raging Bolt Ogerpon,1.0166866691498004e-09,True,0,
Rocket's Honchkrow,1.0207405887716142e-25,False,267,
Rocket's Mewtwo,4.5394086111495346e-85,False,443,
Tera Box,2.689595483744843e-11,False,7,
