generation,Alakazam Dudunsparce,Ceruledge,Charizard Noctowl,Charizard Pidgeot,Crustle,Cynthia's Garchomp,Dragapult Charizard,Dragapult Dusknoir,Dragonite Eelektrik,Festival Lead,Flareon Noctowl,Froslass Munkidori,Gardevoir,Gardevoir Jellicent,Gholdengo Lunatone,Greninja,Grimmsnarl Froslass,Iron Hands Magneton,Joltik Box,Kangaskhan Bouffalant,Lucario Hariyama,Mega Absol Box,Mega Venusaur,N's Zoroark,Ogerpon Meganium,Raging Bolt Ogerpon,Rocket's Honchkrow,Rocket's Mewtwo,Tera Box
0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
1,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
2,0.03567915438560545,0.03255830857572623,0.03811550317931577,0.035598837007372035,0.03674371023754694,0.02807056462620107,0.035504238347277776,0.03631825450786553,0.027360442104780905,0.03824922515413347,0.03020869462680807,0.03661830089755427,0.03927099638938809,0.03684785345204406,0.037704867779502854,0.036115246919798255,0.034908920503831764,0.033153113754203385,0.03718867840424204,0.036956435410770816,0.03061729082155772,0.033847473863854095,0.03354769817791052,0.03385850190009901,0.030118965412265265,0.033751056335467766,0.03574411440256105,0.0320682677143014,0.03327528510801443
3,0.03656234107060883,0.03041876934376226,0.041837488042433445,0.036452301681261234,0.038561442333019655,0.02296884641908921,0.036321460181573596,0.038186720696010645,0.021210952376517326,0.04193973071276001,0.02605849211440557,0.03866430084023539,0.04431502052574277,0.03920753240325447,0.04088604400094712,0.03749759721668522,0.035400362141890435,0.03133223711814878,0.039625161818225736,0.0398665488113372,0.027041179849429234,0.033246980844359855,0.03226423073476052,0.03313607247656768,0.026136476428957958,0.03282936570825588,0.03681540391137114,0.02935444062467961,0.03186249957370917
4,0.037135236973584694,0.02812825239868276,0.045607233375946944,0.03699624437956893,0.039867139783182376,0.018903854790023964,0.036921545291774535,0.04008890670709847,0.01609353369722394,0.0454553747016651,0.022158522956448785,0.04059517363742629,0.049567319830468616,0.04153428371878327,0.043989073136307615,0.038640657703574624,0.035959275953109264,0.02916439748273555,0.041723087261974205,0.0432447600249981,0.023781187716381973,0.032682147983037625,0.030725098621155685,0.03232695289790962,0.022560013632218438,0.031762301164330445,0.037651951989916936,0.026455249675403743,0.030281222515067763
5,0.03741392048215163,0.025753298534209674,0.049382476112252,0.03720021682613874,0.0406270693514325,0.015653877853807615,0.03730038101774352,0.04202361677746403,0.01197173057401194,0.04868695864498421,0.018599723385370328,0.04239105124338379,0.0549782554063693,0.043798444926832894,0.046986414338521416,0.03956719659853525,0.036591278382432015,0.026786924025729197,0.04343714586203789,0.04713127284537171,0.020847027175768713,0.032154343075934726,0.029016703606606378,0.03144518050180698,0.019392711691870262,0.030594300887704158,0.03821719360740073,0.023479165026366634,0.028572121237761823
6,0.03742496649861169,0.023358990850169327,0.05312214087353716,0.03705145136988391,0.04084329923299432,0.013043704778805709,0.037461136505081115,0.043985932621055775,0.008746418039106273,0.051519450698938506,0.015435944642163553,0.044035734460883005,0.06049706261923611,0.04596846268462179,0.04986042690596361,0.040307848259591994,0.03730304373880397,0.0243195669427345,0.04474525919466153,0.05157293837710454,0.01823497867701649,0.031664812371912564,0.02721483211833147,0.03050628621473592,0.01662117747559055,0.029366785705586308,0.03848573301528267,0.020523854161357855,0.02677776096623783
7,0.03720243227721447,0.021004842637578652,0.05678804272812958,0.036554187165902335,0.040550260199128704,0.010936972152763087,0.03741241007723181,0.04596559864342309,0.0062862575938573625,0.05383840523714692,0.012687170694533411,0.04551470235988561,0.06607252955824258,0.048011320334329706,0.0526024848502967,0.040897260907498886,0.03810051871009218,0.021858930461597457,0.045645008471426884,0.05662097592314522,0.015931535459651106,0.03121407081773781,0.025382687452129644,0.029526239661886066,0.014220341986512161,0.02811630961228217,0.038445707849826545,0.017672537793409406,0.02494025838314052
8,0.03678490791035548,0.018741317869645346,0.060346221806030755,0.03572749978319673,0.03980821707502899,0.00922839070293656,0.037166374288897346,0.0479457609919658,0.004451532689330183,0.055537884536433144,0.010345982956970375,0.046813626472024646,0.07165359795190966,0.0498931866011054,0.055211352572513785,0.04137101733307384,0.03898770199900308,0.019477202576828,0.0461484595376847,0.06232820464638606,0.013916691441594898,0.030801407234399,0.023570638356279188,0.028520528829713263,0.012157826936419128,0.026873650145223162,0.038100014005680895,0.014991814834855847,0.02309898791451478
9,0.03621291137144174,0.01660758674917193,0.06376787613309724,0.034602207723323807,0.03869499779826918,0.00783682379259067,0.03673718947536624,0.0499022184757806,0.0031101395068916316,0.05652909714832076,0.00838540892867356,0.04791760361666365,0.07719007351859565,0.05158030656591526,0.05769118969549318,0.04176356979612894,0.0399658857316954,0.01722391795758826,0.046276713379242496,0.06874570477206876,0.012166665685579347,0.030424558343476203,0.021817069355609175,0.02750344902663718,0.010397617566046792,0.025663647318954284,0.03746609421168325,0.012530770073703063,0.021288706281991754
