generation,Alakazam Dudunsparce,Ceruledge,Charizard Noctowl,Charizard Pidgeot,Crustle,Cynthia's Garchomp,Dragapult Charizard,Dragapult Dusknoir,Dragonite Eelektrik,Festival Lead,Flareon Noctowl,Froslass Munkidori,Gardevoir,Gardevoir Jellicent,Gholdengo Lunatone,Greninja,Grimmsnarl Froslass,Iron Hands Magneton,Joltik Box,Kangaskhan Bouffalant,Lucario Hariyama,Mega Absol Box,Mega Venusaur,N's Zoroark,Ogerpon Meganium,Raging Bolt Ogerpon,Rocket's Honchkrow,Rocket's Mewtwo,Tera Box
0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
1,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655
2,0.04790698094852702,0.02075729181022902,0.058513718665657605,0.02979263555224337,0.0537071934153291,0.023149854758411387,0.03120847851826668,0.037309994277299724,0.01648736891072474,0.044817315309123675,0.027422572743902595,0.03211300967484513,0.05294540211711617,0.04266896155141515,0.031114759434093166,0.037309994277299724,0.02207092725923182,0.04266896155141515,0.0537071934153291,0.044817315309123675,0.021300593114121594,0.03461410416572039,0.030242893578416988,0.0433480289473631,0.020137717862363434,0.01762399337955506,0.02207092725923182,0.031114759434093166,0.02905705275955066
3,0.04556295332701199,0.012320970772758379,0.057579171324123,0.04946363813110951,0.057888776948954765,0.01291069449129154,0.0293486143883666,0.044654946682752675,0.00594350140889704,0.07092132398618065,0.014855097607617739,0.03949751728653572,0.07516728356362713,0.07463594710179496,0.019352869193930554,0.02474419107934919,0.018458473451346873,0.018805183563009177,0.044916681214131636,0.03956687199618797,0.016898924184405018,0.030116824535705085,0.027556482749397274,0.026265014761468957,0.025346688056332906,0.008813087357610092,0.015310066354134235,0.06567109465283011,0.02742710982913935
4,0.03155654349747262,0.007814560783457604,0.05000548086422183,0.0571639711823034,0.0704443081984532,0.005648067413207251,0.028503255271795435,0.034592991309078565,0.003086335397347409,0.07086683930766567,0.00942182765789773,0.029842209738609935,0.12509931836271884,0.07693974250115201,0.011330822828863213,0.021720939879638784,0.02541169598224828,0.02301074819229889,0.04249962507248963,0.04572650973567282,0.007392806255974677,0.03382494509240001,0.019315807951334234,0.04880944433046235,0.015157728781922682,0.004576451085043928,0.021610872678046816,0.056030523361225035,0.022595627286997048
5,0.024164113087307173,0.0031775465107298103,0.04844630070667322,0.055560526709906966,0.03833531811901935,0.002726074352599647,0.029905369954610163,0.04270562759613437,0.0014896386949198198,0.07735086699941629,0.009342540907548002,0.05840917582955328,0.15197774021385838,0.06627959404975825,0.027087594855500007,0.027380359205430704,0.02469890009675933,0.015648385280578866,0.044590240609558615,0.07327557867174635,0.0019582604862929944,0.031152720263122373,0.030953095115461023,0.028141652540549417,0.01988687019662745,0.024348567004064705,0.013833575802553007,0.01986331068851926,0.007310455451200999
6,0.019220789486466872,0.0025746015304880135,0.05212672439326844,0.04155668559052573,0.02124150457172171,0.0013667668995036913,0.039158733545164706,0.07108782756772075,0.0013608629480149148,0.06060932922593514,0.004684052603891343,0.07719148725972216,0.19900291629441308,0.05170594401190914,0.060865181804958604,0.03285613964857949,0.03283004582531768,0.005259064451009087,0.038108363146543055,0.09311290592724901,0.000981809469253437,0.013443382593492233,0.016811419927424732,0.010910147655339965,0.012894334091947818,0.014490409031803623,0.008341970555739242,0.009958831657594574,0.006247768285001649
7,0.009866612090342404,0.0097655300062038,0.04042069166270688,0.028795596476452995,0.031159559769560054,0.0003850477546701853,0.0456882050984034,0.05752689609608401,0.001272881313321942,0.029892657782073635,0.004381222252253524,0.11632364176831804,0.1951316683211767,0.053039902131607496,0.06614341546439938,0.04012378721807685,0.07112992893182009,0.0026996367101752364,0.01956217442730841,0.1175632940470797,0.0016733139304986018,0.014177426927238735,0.004736140082279641,0.0075598957163540955,0.01401253182342406,0.007438364852175543,0.003747654565320859,0.002575154514153948,0.0032071682665198594
8,0.0064517946399628365,0.04718427255868014,0.046272304784652725,0.01580654768965744,0.015728893212525623,0.00030752892697885094,0.034553073542322406,0.031490206995112624,0.0010166214961898014,0.009206166251241535,0.0010539336822616013,0.0875976859649667,0.19242128351098742,0.0477627616207668,0.0630228729989296,0.018529147977630563,0.04651198304151922,0.0011833140297140164,0.020205250011726846,0.13661662574455774,0.002435148740946869,0.013830175513193519,0.0068924338392824394,0.020046592427361353,0.007501881449891312,0.1193252354836966,0.005453905647893308,0.0001865812136806211,0.0014057770036695746
9,0.011411446863378317,0.02400267815681365,0.04703801436421594,0.011366641670093998,0.013541485651339285,0.001805924243323577,0.05420402334209192,0.025751855135289672,0.0009868309829418932,0.004904396932034216,0.0005614616309100706,0.07431548454260167,0.19252938956823,0.05531120500245048,0.06007384391288448,0.009871024921198237,0.05631839662181452,0.006948860111206448,0.030107446475199678,0.1516788779019232,0.00039073194015084146,0.01924230937529526,0.0020151283618216388,0.005860985814331788,0.010437577138329794,0.12232200127679058,0.004334432178226237,0.00018111374113671417,0.002486432143975826
